From	Entry	Organism
P27790	P27790	Mus musculus (Mouse)
P48988	P48988	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Q17RP2	Q17RP2	Homo sapiens (Human)
Q2HEW6	Q2HEW6	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970) (Soil fungus)
Q3U285	Q3U285	Mus musculus (Mouse)
Q4W5G0	Q4W5G0	Homo sapiens (Human)
Q5ZJK5	Q5ZJK5	Gallus gallus (Chicken)
Q60976	Q60976	Mus musculus (Mouse)
Q6B0B8	Q6B0B8	Homo sapiens (Human)
Q6NT04	Q6NT04	Homo sapiens (Human)
Q6ZPI3	Q6ZPI3	Mus musculus (Mouse)
Q7TM95	Q7TM95	Mus musculus (Mouse)
Q8BUZ3	Q8BUZ3	Mus musculus (Mouse)
Q8IY51	Q8IY51	Homo sapiens (Human)
Q8N3X6	Q8N3X6	Homo sapiens (Human)
Q95YM8	Q95YM8	Apis mellifera (Honeybee)
Q96JN0	Q96JN0	Homo sapiens (Human)
Q96MW7	Q96MW7	Homo sapiens (Human)
Q9W0K4	Q9W0K4	Drosophila melanogaster (Fruit fly)
Q9W0K7	Q9W0K7	Drosophila melanogaster (Fruit fly)
Q9Y4A0	Q9Y4A0	Homo sapiens (Human)
A0A0R4IWI1	A0A0R4IWI1	Danio rerio (Zebrafish) (Brachydanio rerio)
B7ZRI2	B7ZRI2	Xenopus laevis (African clawed frog)
B7ZRJ4	B7ZRJ4	Xenopus laevis (African clawed frog)
O08791	O08791	Mus musculus (Mouse)
O08792	O08792	Mus musculus (Mouse)
O73742	O73742	Xenopus laevis (African clawed frog)
O93375	O93375	Danio rerio (Zebrafish) (Brachydanio rerio)
P56721	P56721	Drosophila melanogaster (Fruit fly)
Q07802	Q07802	Mus musculus (Mouse)
Q08DL5	Q08DL5	Bos taurus (Bovine)
Q63398	Q63398	Rattus norvegicus (Rat)
Q6P4K7	Q6P4K7	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q8K4J2	Q8K4J2	Mus musculus (Mouse)
Q93705	Q93705	Caenorhabditis elegans
Q9BQW3	Q9BQW3	Homo sapiens (Human)
Q9H4W6	Q9H4W6	Homo sapiens (Human)
Q9HAK2	Q9HAK2	Homo sapiens (Human)
A0A1B0GTU1	A0A1B0GTU1	Homo sapiens (Human)
A6NMK7	A6NMK7	Homo sapiens (Human)
O19137	O19137	Bos taurus (Bovine)
O75152	O75152	Homo sapiens (Human)
O95639	O95639	Homo sapiens (Human)
P0DQW0	P0DQW0	Homo sapiens (Human)
Q0J952	Q0J952	Oryza sativa subsp. japonica (Rice)
Q32KY7	Q32KY7	Bos taurus (Bovine)
Q4R731	Q4R731	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
Q5FVR7	Q5FVR7	Rattus norvegicus (Rat)
Q5NU13	Q5NU13	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Q5REG6	Q5REG6	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q5ZJJ1	Q5ZJJ1	Gallus gallus (Chicken)
Q66KE3	Q66KE3	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6AT25	Q6AT25	Oryza sativa subsp. japonica (Rice)
Q6AYU0	Q6AYU0	Rattus norvegicus (Rat)
Q6DJP7	Q6DJP7	Xenopus laevis (African clawed frog)
Q6K977	Q6K977	Oryza sativa subsp. japonica (Rice)
Q6NZF1	Q6NZF1	Mus musculus (Mouse)
Q8NA57	Q8NA57	Homo sapiens (Human)
Q9ZUM0	Q9ZUM0	Arabidopsis thaliana (Mouse-ear cress)
O09185	O09185	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
O12946	O12946	Platichthys flesus (European flounder) (Pleuronectes flesus)
O15350	O15350	Homo sapiens (Human)
O36006	O36006	Marmota monax (Woodchuck)
O57538	O57538	Xiphophorus hellerii (Green swordtail)
O88898	O88898	Mus musculus (Mouse)
O93379	O93379	Ictalurus punctatus (Channel catfish) (Silurus punctatus)
P02340	P02340	Mus musculus (Mouse)
P04637	P04637	Homo sapiens (Human)
P07193	P07193	Xenopus laevis (African clawed frog)
P10360	P10360	Gallus gallus (Chicken)
P10361	P10361	Rattus norvegicus (Rat)
P13481	P13481	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
P25035	P25035	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
P41685	P41685	Felis catus (Cat) (Felis silvestris catus)
P51664	P51664	Ovis aries (Sheep)
P56423	P56423	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P67938	P67938	Bos indicus (Zebu)
P79734	P79734	Danio rerio (Zebrafish) (Brachydanio rerio)
P79820	P79820	Oryzias latipes (Japanese rice fish) (Japanese killifish)
P79892	P79892	Equus caballus (Horse)
Q00366	Q00366	Mesocricetus auratus (Golden hamster)
Q29480	Q29480	Equus asinus (Donkey) (Equus africanus asinus)
Q29537	Q29537	Canis lupus familiaris (Dog) (Canis familiaris)
Q64662	Q64662	Otospermophilus beecheyi (California ground squirrel) (Spermophilus beecheyi)
Q8SPZ3	Q8SPZ3	Delphinapterus leucas (Beluga whale)
Q92143	Q92143	Xiphophorus maculatus (Southern platyfish) (Platypoecilus maculatus)
Q95330	Q95330	Oryctolagus cuniculus (Rabbit)
Q9H3D4	Q9H3D4	Homo sapiens (Human)
Q9JJP2	Q9JJP2	Mus musculus (Mouse)
Q9JJP6	Q9JJP6	Rattus norvegicus (Rat)
Q9TTA1	Q9TTA1	Tupaia belangeri (Common tree shrew) (Tupaia glis belangeri)
Q9TUB2	Q9TUB2	Sus scrofa (Pig)
Q9W678	Q9W678	Barbus barbus (Barbel) (Cyprinus barbus)
Q9W679	Q9W679	Tetraodon miurus (Congo puffer)
Q9WUR6	Q9WUR6	Cavia porcellus (Guinea pig)
Q9XSK8	Q9XSK8	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
A0A364LYQ6	A0A364LYQ6	Aspergillus flavus
A0A5N6H279	A0A5N6H279	Aspergillus flavus
A2VDY6	A2VDY6	Bos taurus (Bovine)
A2XKR7	A2XKR7	Oryza sativa subsp. indica (Rice)
A6QL72	A6QL72	Bos taurus (Bovine)
B0G188	B0G188	Dictyostelium discoideum (Social amoeba)
B4XXY3	B4XXY3	Ajellomyces capsulatus (Darling's disease fungus) (Histoplasma capsulatum)
B7WN96	B7WN96	Caenorhabditis elegans
B8AR30	B8AR30	Oryza sativa subsp. indica (Rice)
B8AX51	B8AX51	Oryza sativa subsp. indica (Rice)
D4B3J8	D4B3J8	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) (Trichophyton mentagrophytes)
G5EB20	G5EB20	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
G5EGF4	G5EGF4	Caenorhabditis elegans
G5EGN3	G5EGN3	Caenorhabditis elegans
N4XMB0	N4XMB0	Cochliobolus heterostrophus (strain C4 / ATCC 48331 / race T) (Southern corn leaf blight fungus) (Bipolaris maydis)
O09100	O09100	Mus musculus (Mouse)
O13412	O13412	Aspergillus niger
O13415	O13415	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)
O13508	O13508	Penicillium roqueforti
O49741	O49741	Arabidopsis thaliana (Mouse-ear cress)
O49743	O49743	Arabidopsis thaliana (Mouse-ear cress)
O61924	O61924	Caenorhabditis elegans
O65515	O65515	Arabidopsis thaliana (Mouse-ear cress)
O82632	O82632	Arabidopsis thaliana (Mouse-ear cress)
O94720	O94720	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O94776	O94776	Homo sapiens (Human)
P09007	P09007	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P0C6A0	P0C6A0	Homo sapiens (Human)
P15976	P15976	Homo sapiens (Human)
P17429	P17429	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)
P17678	P17678	Gallus gallus (Chicken)
P17679	P17679	Mus musculus (Mouse)
P18494	P18494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P19212	P19212	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
P23767	P23767	Xenopus laevis (African clawed frog)
P23768	P23768	Xenopus laevis (African clawed frog)
P23769	P23769	Homo sapiens (Human)
P23770	P23770	Xenopus laevis (African clawed frog)
P23771	P23771	Homo sapiens (Human)
P23772	P23772	Mus musculus (Mouse)
P23773	P23773	Xenopus laevis (African clawed frog)
P23824	P23824	Gallus gallus (Chicken)
P23825	P23825	Gallus gallus (Chicken)
P26343	P26343	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P28515	P28515	Caenorhabditis elegans
P34233	P34233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P40209	P40209	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P40349	P40349	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)
P40569	P40569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P42944	P42944	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P43429	P43429	Rattus norvegicus (Rat)
P43574	P43574	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P43691	P43691	Gallus gallus (Chicken)
P43692	P43692	Gallus gallus (Chicken)
P43693	P43693	Gallus gallus (Chicken)
P43694	P43694	Homo sapiens (Human)
P43695	P43695	Xenopus laevis (African clawed frog)
P43696	P43696	Xenopus laevis (African clawed frog)
P46152	P46152	Rattus norvegicus (Rat)
P46153	P46153	Rattus norvegicus (Rat)
P52167	P52167	Bombyx mori (Silk moth)
P52168	P52168	Drosophila melanogaster (Fruit fly)
P52172	P52172	Drosophila melanogaster (Fruit fly)
P69781	P69781	Arabidopsis thaliana (Mouse-ear cress)
P70005	P70005	Xenopus laevis (African clawed frog)
P78714	P78714	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
P91623	P91623	Drosophila melanogaster (Fruit fly)
P97489	P97489	Mus musculus (Mouse)
Q00858	Q00858	Fusarium vanettenii (Neocosmospora pisi)
Q01168	Q01168	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Magnaporthe oryzae)
Q01371	Q01371	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q01582	Q01582	Penicillium chrysogenum (Penicillium notatum)
Q02710	Q02710	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q07928	Q07928	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q08369	Q08369	Mus musculus (Mouse)
Q08DV0	Q08DV0	Bos taurus (Bovine)
Q09228	Q09228	Caenorhabditis elegans
Q0DNU1	Q0DNU1	Oryza sativa subsp. japonica (Rice)
Q0Q0E4	Q0Q0E4	Canis lupus familiaris (Dog) (Canis familiaris)
Q10134	Q10134	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q10280	Q10280	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q10655	Q10655	Caenorhabditis elegans
Q10F25	Q10F25	Oryza sativa subsp. japonica (Rice)
Q13330	Q13330	Homo sapiens (Human)
Q18919	Q18919	Caenorhabditis elegans
Q1K8E7	Q1K8E7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q1L8G7	Q1L8G7	Danio rerio (Zebrafish) (Brachydanio rerio)
Q1WG82	Q1WG82	Mus musculus (Mouse)
Q3SZJ5	Q3SZJ5	Bos taurus (Bovine)
Q4WV91	Q4WV91	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)
Q54FV1	Q54FV1	Dictyostelium discoideum (Social amoeba)
Q54HA4	Q54HA4	Dictyostelium discoideum (Social amoeba)
Q54KX0	Q54KX0	Dictyostelium discoideum (Social amoeba)
Q54L72	Q54L72	Dictyostelium discoideum (Social amoeba)
Q54L80	Q54L80	Dictyostelium discoideum (Social amoeba)
Q54L82	Q54L82	Dictyostelium discoideum (Social amoeba)
Q54L83	Q54L83	Dictyostelium discoideum (Social amoeba)
Q54NM5	Q54NM5	Dictyostelium discoideum (Social amoeba)
Q54TE3	Q54TE3	Dictyostelium discoideum (Social amoeba)
Q54TM6	Q54TM6	Dictyostelium discoideum (Social amoeba)
Q54US7	Q54US7	Dictyostelium discoideum (Social amoeba)
Q54V32	Q54V32	Dictyostelium discoideum (Social amoeba)
Q54V37	Q54V37	Dictyostelium discoideum (Social amoeba)
Q54WY0	Q54WY0	Dictyostelium discoideum (Social amoeba)
Q54X31	Q54X31	Dictyostelium discoideum (Social amoeba)
Q550D5	Q550D5	Dictyostelium discoideum (Social amoeba)
Q55C49	Q55C49	Dictyostelium discoideum (Social amoeba)
Q55EQ0	Q55EQ0	Dictyostelium discoideum (Social amoeba)
Q55GK0	Q55GK0	Dictyostelium discoideum (Social amoeba)
Q59LY1	Q59LY1	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5A201	Q5A201	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5A432	Q5A432	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5A5Q6	Q5A5Q6	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5AP95	Q5AP95	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
Q5HZ36	Q5HZ36	Arabidopsis thaliana (Mouse-ear cress)
Q5KSV0	Q5KSV0	Dictyostelium discoideum (Social amoeba)
Q5PP38	Q5PP38	Arabidopsis thaliana (Mouse-ear cress)
Q5Z4U5	Q5Z4U5	Oryza sativa subsp. japonica (Rice)
Q61169	Q61169	Mus musculus (Mouse)
Q62599	Q62599	Rattus norvegicus (Rat)
Q62901	Q62901	Rattus norvegicus (Rat)
Q6DBP8	Q6DBP8	Arabidopsis thaliana (Mouse-ear cress)
Q6L5E5	Q6L5E5	Oryza sativa subsp. japonica (Rice)
Q6QPM2	Q6QPM2	Arabidopsis thaliana (Mouse-ear cress)
Q6YW48	Q6YW48	Oryza sativa subsp. japonica (Rice)
Q6Z433	Q6Z433	Oryza sativa subsp. japonica (Rice)
Q75JZ0	Q75JZ0	Dictyostelium discoideum (Social amoeba)
Q75JZ1	Q75JZ1	Dictyostelium discoideum (Social amoeba)
Q7ZXY4	Q7ZXY4	Xenopus laevis (African clawed frog)
Q80TZ9	Q80TZ9	Mus musculus (Mouse)
Q86YP4	Q86YP4	Homo sapiens (Human)
Q8GXL7	Q8GXL7	Arabidopsis thaliana (Mouse-ear cress)
Q8H1G0	Q8H1G0	Arabidopsis thaliana (Mouse-ear cress)
Q8K4B0	Q8K4B0	Mus musculus (Mouse)
Q8L4M6	Q8L4M6	Arabidopsis thaliana (Mouse-ear cress)
Q8LAU9	Q8LAU9	Arabidopsis thaliana (Mouse-ear cress)
Q8LC59	Q8LC59	Arabidopsis thaliana (Mouse-ear cress)
Q8LC79	Q8LC79	Arabidopsis thaliana (Mouse-ear cress)
Q8LG10	Q8LG10	Arabidopsis thaliana (Mouse-ear cress)
Q8MQA7	Q8MQA7	Caenorhabditis elegans
Q8VHR5	Q8VHR5	Mus musculus (Mouse)
Q8VZP4	Q8VZP4	Arabidopsis thaliana (Mouse-ear cress)
Q8W4H1	Q8W4H1	Arabidopsis thaliana (Mouse-ear cress)
Q8WUU5	Q8WUU5	Homo sapiens (Human)
Q8WXI9	Q8WXI9	Homo sapiens (Human)
Q90ZS6	Q90ZS6	Xenopus laevis (African clawed frog)
Q91428	Q91428	Danio rerio (Zebrafish) (Brachydanio rerio)
Q91677	Q91677	Xenopus laevis (African clawed frog)
Q91678	Q91678	Xenopus laevis (African clawed frog)
Q920S3	Q920S3	Mus musculus (Mouse)
Q92259	Q92259	Penicillium chrysogenum (Penicillium notatum)
Q92269	Q92269	Penicillium urticae
Q924K8	Q924K8	Mus musculus (Mouse)
Q924Y4	Q924Y4	Rattus norvegicus (Rat)
Q925H1	Q925H1	Mus musculus (Mouse)
Q92908	Q92908	Homo sapiens (Human)
Q95JA5	Q95JA5	Sus scrofa (Pig)
Q95Y41	Q95Y41	Caenorhabditis elegans
Q9BTC8	Q9BTC8	Homo sapiens (Human)
Q9BWX5	Q9BWX5	Homo sapiens (Human)
Q9FH57	Q9FH57	Arabidopsis thaliana (Mouse-ear cress)
Q9FJ10	Q9FJ10	Arabidopsis thaliana (Mouse-ear cress)
Q9HEV5	Q9HEV5	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
Q9HKJ3	Q9HKJ3	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)
Q9LIB5	Q9LIB5	Arabidopsis thaliana (Mouse-ear cress)
Q9LRH6	Q9LRH6	Arabidopsis thaliana (Mouse-ear cress)
Q9LT45	Q9LT45	Arabidopsis thaliana (Mouse-ear cress)
Q9M1U2	Q9M1U2	Arabidopsis thaliana (Mouse-ear cress)
Q9P2R6	Q9P2R6	Homo sapiens (Human)
Q9R190	Q9R190	Mus musculus (Mouse)
Q9SD38	Q9SD38	Arabidopsis thaliana (Mouse-ear cress)
Q9SKN6	Q9SKN6	Arabidopsis thaliana (Mouse-ear cress)
Q9SV30	Q9SV30	Arabidopsis thaliana (Mouse-ear cress)
Q9SZI6	Q9SZI6	Arabidopsis thaliana (Mouse-ear cress)
Q9UHF7	Q9UHF7	Homo sapiens (Human)
Q9URT4	Q9URT4	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9USM3	Q9USM3	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q9ZPX0	Q9ZPX0	Arabidopsis thaliana (Mouse-ear cress)
P05552	P05552	Drosophila melanogaster (Fruit fly)
Q1LZ24	Q1LZ24	Drosophila melanogaster (Fruit fly)
A0A087WUV0	A0A087WUV0	Homo sapiens (Human)
A0A0A7HJC7	A0A0A7HJC7	Hapsidospora chrysogena (Acremonium chrysogenum)
A0A0B2XG51	A0A0B2XG51	Metarhizium robertsii (strain ARSEF 23 / ATCC MYA-3075) (Metarhizium anisopliae (strain ARSEF 23))
A0A0F0I5G4	A0A0F0I5G4	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)
A0A0K3AUE4	A0A0K3AUE4	Caenorhabditis elegans
A0A0R4IYX6	A0A0R4IYX6	Danio rerio (Zebrafish) (Brachydanio rerio)
A0A0S6XAX9	A0A0S6XAX9	Dothideomycetidae sp. (strain 11243) (Fungal sp. (strain No.11243))
A0A0U1RQI7	A0A0U1RQI7	Homo sapiens (Human)
A0A162LR42	A0A162LR42	Metarhizium rileyi (strain RCEF 4871) (Nomuraea rileyi)
A0A1D5NS60	A0A1D5NS60	Danio rerio (Zebrafish) (Brachydanio rerio)
A0A1V6NWD3	A0A1V6NWD3	Penicillium polonicum
A0A1W2PQL4	A0A1W2PQL4	Homo sapiens (Human)
A0A2H1A5W4	A0A2H1A5W4	Candidozyma auris (Yeast) (Candida auris)
A0A2L0V161	A0A2L0V161	Salmonella phage PMBT28
A0A5B9G902	A0A5B9G902	Aureobasidium melanogenum (Aureobasidium pullulans var. melanogenum)
A0A5E4M3Q4	A0A5E4M3Q4	Caenorhabditis elegans
A0A5K4F1D0	A0A5K4F1D0	Schistosoma mansoni (Blood fluke)
A0A8B8BQ58	A0A8B8BQ58	Crassostrea virginica (Eastern oyster)
A0A9P4XV22	A0A9P4XV22	Cryphonectria parasitica (strain ATCC 38755 / EP155)
A0JC51	A0JC51	Xenopus laevis (African clawed frog)
A0JMV4	A0JMV4	Xenopus laevis (African clawed frog)
A0JN27	A0JN27	Rattus norvegicus (Rat)
A0JN76	A0JN76	Bos taurus (Bovine)
A0JNB1	A0JNB1	Bos taurus (Bovine)
A0JNJ4	A0JNJ4	Bos taurus (Bovine)
A0JPB4	A0JPB4	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A0JPK3	A0JPK3	Rattus norvegicus (Rat)
A0JPL0	A0JPL0	Rattus norvegicus (Rat)
A0MS83	A0MS83	Danio rerio (Zebrafish) (Brachydanio rerio)
A0PJY2	A0PJY2	Homo sapiens (Human)
A1C6L9	A1C6L9	Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
A1DH89	A1DH89	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)
A1L1J6	A1L1J6	Rattus norvegicus (Rat)
A1L1L7	A1L1L7	Rattus norvegicus (Rat)
A1L1R6	A1L1R6	Danio rerio (Zebrafish) (Brachydanio rerio)
A1L2U9	A1L2U9	Xenopus laevis (African clawed frog)
A1XSY8	A1XSY8	Sus scrofa (Pig)
A1YEP8	A1YEP8	Gorilla gorilla gorilla (Western lowland gorilla)
A1YEQ3	A1YEQ3	Gorilla gorilla gorilla (Western lowland gorilla)
A1YEV9	A1YEV9	Gorilla gorilla gorilla (Western lowland gorilla)
A1YEX3	A1YEX3	Gorilla gorilla gorilla (Western lowland gorilla)
A1YF12	A1YF12	Gorilla gorilla gorilla (Western lowland gorilla)
A1YF22	A1YF22	Gorilla gorilla gorilla (Western lowland gorilla)
A1YFC1	A1YFC1	Gorilla gorilla gorilla (Western lowland gorilla)
A1YFW2	A1YFW2	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YFW6	A1YFW6	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YFX5	A1YFX5	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YG26	A1YG26	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YG48	A1YG48	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YG60	A1YG60	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YG99	A1YG99	Pan paniscus (Pygmy chimpanzee) (Bonobo)
A1YPR0	A1YPR0	Homo sapiens (Human)
A1Z9R4	A1Z9R4	Drosophila melanogaster (Fruit fly)
A2A5E6	A2A5E6	Mus musculus (Mouse)
A2A5K6	A2A5K6	Mus musculus (Mouse)
A2A6A1	A2A6A1	Mus musculus (Mouse)
A2A761	A2A761	Mus musculus (Mouse)
A2A884	A2A884	Mus musculus (Mouse)
A2A935	A2A935	Mus musculus (Mouse)
A2AJ77	A2AJ77	Mus musculus (Mouse)
A2AKY4	A2AKY4	Mus musculus (Mouse)
A2ANX9	A2ANX9	Mus musculus (Mouse)
A2APF3	A2APF3	Mus musculus (Mouse)
A2BID7	A2BID7	Danio rerio (Zebrafish) (Brachydanio rerio)
A2CE44	A2CE44	Mus musculus (Mouse)
A2QA83	A2QA83	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
A2QCJ9	A2QCJ9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
A2RRD8	A2RRD8	Homo sapiens (Human)
A2RSY6	A2RSY6	Mus musculus (Mouse)
A2RV29	A2RV29	Danio rerio (Zebrafish) (Brachydanio rerio)
A2T6E3	A2T6E3	Macaca nemestrina (Pig-tailed macaque)
A2T6W2	A2T6W2	Pan troglodytes (Chimpanzee)
A2T712	A2T712	Pan troglodytes (Chimpanzee)
A2T736	A2T736	Pan troglodytes (Chimpanzee)
A2T7D2	A2T7D2	Pan troglodytes (Chimpanzee)
A2T7F2	A2T7F2	Pan troglodytes (Chimpanzee)
A2T7F4	A2T7F4	Pongo pygmaeus (Bornean orangutan)
A2T7G6	A2T7G6	Pongo pygmaeus (Bornean orangutan)
A2T7S4	A2T7S4	Pongo pygmaeus (Bornean orangutan)
A2T812	A2T812	Pongo pygmaeus (Bornean orangutan)
A2VDP4	A2VDP4	Bos taurus (Bovine)
A2VDQ7	A2VDQ7	Bos taurus (Bovine)
A2VDT4	A2VDT4	Bos taurus (Bovine)
A2VDW9	A2VDW9	Bos taurus (Bovine)
A2YP56	A2YP56	Oryza sativa subsp. indica (Rice)
A3BMN9	A3BMN9	Oryza sativa subsp. japonica (Rice)
A3KN32	A3KN32	Bos taurus (Bovine)
A3KN36	A3KN36	Bos taurus (Bovine)
A4D1E1	A4D1E1	Homo sapiens (Human)
A4FV57	A4FV57	Bos taurus (Bovine)
A4FV61	A4FV61	Bos taurus (Bovine)
A4IFJ6	A4IFJ6	Bos taurus (Bovine)
A4IGK4	A4IGK4	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A4IHR5	A4IHR5	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A4II20	A4II20	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A4QP16	A4QP16	Danio rerio (Zebrafish) (Brachydanio rerio)
A5ABV9	A5ABV9	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)
A5D7S3	A5D7S3	Bos taurus (Bovine)
A5GFT6	A5GFT6	Sus scrofa (Pig)
A5PJN8	A5PJN8	Bos taurus (Bovine)
A5PK30	A5PK30	Bos taurus (Bovine)
A6H7J1	A6H7J1	Bos taurus (Bovine)
A6NDX5	A6NDX5	Homo sapiens (Human)
A6NFI3	A6NFI3	Homo sapiens (Human)
A6NGD5	A6NGD5	Homo sapiens (Human)
A6NHJ4	A6NHJ4	Homo sapiens (Human)
A6NJL1	A6NJL1	Homo sapiens (Human)
A6NK53	A6NK53	Homo sapiens (Human)
A6NK75	A6NK75	Homo sapiens (Human)
A6NM28	A6NM28	Homo sapiens (Human)
A6NN14	A6NN14	Homo sapiens (Human)
A6NNF4	A6NNF4	Homo sapiens (Human)
A6NP11	A6NP11	Homo sapiens (Human)
A6QLU5	A6QLU5	Bos taurus (Bovine)
A6QNZ0	A6QNZ0	Bos taurus (Bovine)
A6QPM3	A6QPM3	Bos taurus (Bovine)
A6QPT6	A6QPT6	Bos taurus (Bovine)
A6QQW0	A6QQW0	Bos taurus (Bovine)
A6QR00	A6QR00	Bos taurus (Bovine)
A6REV3	A6REV3	Ajellomyces capsulatus (strain NAm1 / WU24) (Darling's disease fungus) (Histoplasma capsulatum)
A6ZZ54	A6ZZ54	Saccharomyces cerevisiae (strain YJM789) (Baker's yeast)
A7EHE5	A7EHE5	Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1) (White mold) (Whetzelinia sclerotiorum)
A7KBS4	A7KBS4	Mus musculus (Mouse)
A7MBI1	A7MBI1	Bos taurus (Bovine)
A7SGF0	A7SGF0	Nematostella vectensis (Starlet sea anemone)
A7UKY7	A7UKY7	Xenopus laevis (African clawed frog)
A7Y7X5	A7Y7X5	Danio rerio (Zebrafish) (Brachydanio rerio)
A8K0R7	A8K0R7	Homo sapiens (Human)
A8K8V0	A8K8V0	Homo sapiens (Human)
A8MQ14	A8MQ14	Homo sapiens (Human)
A8MT65	A8MT65	Homo sapiens (Human)
A8MTY0	A8MTY0	Homo sapiens (Human)
A8MUV8	A8MUV8	Homo sapiens (Human)
A8MUZ8	A8MUZ8	Homo sapiens (Human)
A8MWA4	A8MWA4	Homo sapiens (Human)
A8MXY4	A8MXY4	Homo sapiens (Human)
A9JTS5	A9JTS5	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
